City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Shakiso,ET,2023-01-19 22:04:46,5.75,38.9167,56.08,32,73,4.65
92,Victoria,HK,2023-01-19 22:02:59,22.2855,114.1577,63.25,66,69,10.0
93,Vila Franca Do Campo,PT,2023-01-19 22:04:46,37.7167,-25.4333,55.81,83,48,3.89
94,Butaritari,KI,2023-01-19 22:04:47,3.0707,172.7902,80.89,81,87,18.84
95,Solnechnyy,RU,2023-01-19 22:05:47,50.7214,136.6319,-16.42,95,100,4.9
96,Touros,BR,2023-01-19 22:05:48,-5.1989,-35.4608,79.5,77,39,11.9
97,Cabedelo,BR,2023-01-19 22:05:48,-6.9811,-34.8339,79.47,80,55,8.88
98,Sao Gotardo,BR,2023-01-19 22:05:49,-19.3111,-46.0489,69.04,77,75,2.19
99,Taoudenni,ML,2023-01-19 22:05:49,22.6783,-3.9836,67.55,21,10,10.13
100,Makarov,RU,2023-01-19 22:05:50,48.6333,142.8,4.35,95,100,10.42
101,East London,ZA,2023-01-19 22:05:50,-33.0153,27.9116,73.27,92,91,10.94
102,Qinzhou,CN,2023-01-19 22:05:51,21.95,108.6167,50.56,60,3,5.91
103,Kemijarvi,FI,2023-01-19 22:05:51,66.7131,27.4306,23.56,94,100,4.81
104,Kaitangata,NZ,2023-01-19 22:05:52,-46.2817,169.8464,69.48,59,88,1.95
105,Leningradskiy,RU,2023-01-19 22:05:52,69.3833,178.4167,-17.07,98,100,13.38
106,Bay-Khaak,RU,2023-01-19 22:05:53,51.1667,94.5,0.77,98,100,2.04
107,Olinda,BR,2023-01-19 22:05:23,-8.0089,-34.8553,82.13,69,40,6.91
108,El Alto,PE,2023-01-19 22:05:53,-4.2714,-81.2147,76.66,68,92,6.73
109,Sao Filipe,CV,2023-01-19 22:05:54,14.8961,-24.4956,74.39,70,28,15.68
110,Alyangula,AU,2023-01-19 22:05:55,-13.8483,136.4192,82.96,76,100,10.74
111,Nawada,IN,2023-01-19 22:05:55,24.8833,85.5333,49.03,44,1,2.64
112,Olafsvik,IS,2023-01-19 22:05:56,64.8945,-23.7142,30.76,75,100,19.3
113,New Norfolk,AU,2023-01-19 22:05:56,-42.7826,147.0587,62.92,57,10,3.09
114,Klaksvik,FO,2023-01-19 22:05:56,62.2266,-6.589,31.12,64,100,17.87
115,Airai,TL,2023-01-19 21:59:47,-8.9266,125.4092,60.48,94,97,1.81
116,Ribeira Grande,PT,2023-01-19 22:05:57,38.5167,-28.7,59.77,73,70,15.99
117,Coquimbo,CL,2023-01-19 21:59:47,-29.9533,-71.3436,71.33,56,0,10.36
118,Umba,RU,2023-01-19 22:05:58,66.6871,34.3429,32.2,99,100,6.93
119,Saravan,AM,2023-01-19 22:05:58,39.7196,45.6483,25.45,57,0,6.6
120,Vila Velha,BR,2023-01-19 22:05:59,-20.3297,-40.2925,78.75,88,75,6.91
121,Tuktoyaktuk,CA,2023-01-19 22:05:59,69.4541,-133.0374,-10.35,100,91,7.78
122,Castro,BR,2023-01-19 22:01:59,-24.7911,-50.0119,64.98,95,79,6.35
123,Korcula,HR,2023-01-19 22:06:00,42.9622,17.1369,53.91,55,100,2.93
124,Do Gonbadan,IR,2023-01-19 22:06:00,30.3586,50.7981,49.48,57,0,3.06
125,Alofi,NU,2023-01-19 22:06:01,-19.0595,-169.9187,85.89,70,75,11.5
126,Atuona,PF,2023-01-19 22:06:01,-9.8,-139.0333,79.21,75,33,18.07
127,Belaya Gora,RU,2023-01-19 22:06:02,68.5333,146.4167,-39.77,100,100,3.83
128,Gualaquiza,EC,2023-01-19 22:06:03,-3.4,-78.55,63.1,100,100,0.81
129,Bethel,US,2023-01-19 22:06:03,41.3712,-73.414,38.19,86,100,5.75
130,Prince Rupert,CA,2023-01-19 22:06:03,54.3161,-130.3201,39.29,93,100,17.27
131,Isangel,VU,2023-01-19 22:06:04,-19.55,169.2667,79.74,69,13,9.69
132,Biltine,TD,2023-01-19 22:06:04,14.5333,20.9167,73.67,18,5,6.06
133,Milkovo,RU,2023-01-19 22:06:05,54.7167,158.6167,-11.47,96,100,1.77
134,Beloha,MG,2023-01-19 22:06:05,-25.1667,45.05,74.16,71,100,16.13
135,Lixourion,GR,2023-01-19 22:06:06,38.2019,20.4314,56.95,84,100,18.28
136,Ostrovnoy,RU,2023-01-19 21:59:44,68.0531,39.5131,34.84,92,84,21.56
137,Chapais,CA,2023-01-19 22:06:07,49.7834,-74.8492,5.4,97,52,4.12
138,Cape Town,ZA,2023-01-19 22:05:50,-33.9258,18.4232,70.09,77,3,5.99
139,Benicarlo,ES,2023-01-19 22:06:09,40.4165,0.4271,58.24,57,84,15.3
140,Codrington,AU,2023-01-19 22:07:09,-38.2667,141.9667,59.16,72,100,10.71
141,Lubango,AO,2023-01-19 22:07:09,-14.9172,13.4925,59.92,81,100,3.15
142,Hofn,IS,2023-01-19 22:07:10,64.2539,-15.2082,26.29,95,100,11.79
143,Marsabit,KE,2023-01-19 22:07:10,2.3284,37.9899,70.12,43,73,9.46
